,0,1,2,3,4
0,7.0,16.161616161616163,1.9444444444444444,0.7,3.7754194736480713
1,7.0,96.96969696969697,1.9444444444444444,1.4,11.221333503723145
2,8.0,6.0606060606060606,2.5,1.011111111111111,2.201298236846924
3,8.0,36.36363636363637,1.9444444444444444,1.2444444444444445,6.147542476654053
4,10.0,117.17171717171718,1.5,1.1666666666666665,13.03022289276123
5,10.0,143.43434343434345,2.388888888888889,0.7,25.951208114624023
6,11.0,54.54545454545455,1.8333333333333333,0.7,7.215297222137451
7,11.0,125.25252525252526,2.1666666666666665,1.2444444444444445,20.84250259399414
8,12.0,32.323232323232325,1.9444444444444444,0.7,4.640458583831787
9,12.0,54.54545454545455,1.7222222222222223,1.1666666666666665,6.41602897644043
10,12.0,137.37373737373738,2.5,1.4,15.713827133178711
11,7.0,147.4747474747475,2.2777777777777777,0.7,25.33592414855957
12,12.0,149.4949494949495,2.1666666666666665,0.7,23.478708267211914
13,6.0,143.43434343434345,1.5,0.7,20.08747673034668
14,10.0,147.4747474747475,2.5,1.4,18.987825393676758
15,6.0,157.5757575757576,2.5,0.7,23.2735595703125
16,12.0,165.65656565656568,2.5,0.7,23.064903259277344
17,6.0,173.73737373737376,1.5,0.7,19.452085494995117
18,11.0,157.5757575757576,1.5,0.7,25.28917694091797
19,9.0,153.53535353535355,2.5,0.7,21.972164154052734
20,8.0,163.63636363636365,1.5,1.4,20.145652770996094
21,12.0,187.8787878787879,2.5,0.7,20.81517219543457
22,6.0,200.0,1.5,1.4,23.12278175354004
23,12.0,200.0,2.5,0.7,22.3664608001709
24,6.0,193.93939393939394,2.5,0.7,30.080114364624023
25,6.0,191.91919191919195,1.5,0.7,17.95712661743164
26,6.0,195.95959595959596,2.5,1.4,34.170536041259766
27,6.0,200.0,2.5,1.4,32.57075500488281
28,6.0,193.93939393939394,2.5,1.4,24.985321044921875
29,6.0,200.0,2.5,0.7,24.561460494995117
30,6.0,76.76767676767678,2.5,0.7,14.503890991210938
31,6.0,181.81818181818184,2.5,1.4,16.416046142578125
32,10.0,195.95959595959596,2.5,1.4,21.601428985595703
33,6.0,131.31313131313132,2.5,0.7,21.917078018188477
34,12.0,82.82828282828284,1.5,1.4,11.348346710205078
35,6.0,200.0,2.5,1.3222222222222222,29.08436393737793
