,0
0,226.328125
1,230.9375
2,225.53125
3,227.234375
4,228.734375
5,224.125
6,226.8125
7,225.734375
8,226.828125
9,225.75
10,231.109375
11,226.203125
12,228.71875
13,225.84375
14,226.0625
15,233.109375
16,236.609375
17,225.875
18,226.6875
19,226.90625
20,227.203125
21,226.75
22,226.84375
23,226.734375
24,225.5625
25,226.28125
26,227.9375
27,228.328125
28,227.546875
29,228.015625
