,0
0,3.984375
1,1.8125
2,1.671875
3,1.984375
4,1.640625
5,1.859375
6,1.75
7,2.0
8,1.515625
9,1.953125
10,2.046875
11,1.921875
12,1.5
13,2.140625
14,1.546875
15,1.671875
16,1.953125
17,1.875
18,1.59375
19,1.765625
20,2.03125
21,1.765625
22,1.953125
23,1.875
24,1.6875
25,1.640625
26,1.625
27,1.625
28,1.5
29,1.578125
