,0
0,3.203125
1,1.21875
2,1.640625
3,1.328125
4,1.59375
5,1.28125
6,1.6875
7,1.390625
8,1.671875
9,1.828125
10,1.53125
11,1.578125
12,1.53125
13,1.703125
14,1.734375
15,1.734375
16,1.859375
17,1.890625
18,1.75
19,1.84375
20,1.96875
21,1.828125
22,1.703125
23,2.046875
24,1.84375
25,1.9375
26,1.6875
27,2.171875
28,1.875
29,1.921875
