,0
0,37.484375
1,35.796875
2,36.875
3,36.59375
4,34.390625
5,30.859375
6,33.625
7,36.75
8,35.015625
9,32.90625
10,35.90625
11,36.28125
12,34.390625
13,36.453125
14,38.203125
15,31.375
16,33.28125
17,38.53125
18,33.390625
19,34.09375
20,34.140625
21,38.171875
22,38.515625
23,34.75
24,35.578125
25,35.28125
26,34.609375
27,33.765625
28,36.375
29,37.3125
